src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
71.254.143.57,202.123.154.133,23320,31337,1,0,0,0,58,58,58,58,1,0,0
2.73.149.23,202.101.48.70,60506,500,3,0.08241605758666992,0.4063880443572998,0.24440205097198486,54,66,58,174,1,0,0
101.244.157.202,101.244.157.148,179,51559,3,0.09994888305664062,0.447141170501709,0.2735450267791748,66,66,66,198,0,0,0
154.79.162.22,150.121.66.202,35449,23,1,0,0,0,58,58,58,58,1,0,0
182.66.130.8,133.139.143.52,443,14872,2,0.01810908317565918,0.01810908317565918,0.01810908317565918,54,54,54,108,0,0,0
162.143.133.252,203.77.43.151,39788,47082,1,0,0,0,74,74,74,74,1,0,0
79.12.195.78,150.121.3.115,53372,14330,1,0,0,0,58,58,58,58,1,0,0
157.225.243.185,202.101.53.172,20919,554,1,0,0,0,54,54,54,54,0,1,0
101.244.157.201,101.244.157.148,179,53706,2,0.10085010528564453,0.10085010528564453,0.10085010528564453,66,66,66,132,0,0,0
4.153.219.73,203.77.64.130,58838,3479,1,0,0,0,54,54,54,54,1,0,0
167.94.143.253,202.230.197.10,35152,20256,1,0,0,0,74,74,74,74,1,0,0
45.108.142.31,203.77.86.74,39936,20000,1,0,0,0,54,54,54,54,1,0,0
5.201.209.254,150.121.198.232,8324,46441,1,0,0,0,54,54,54,54,1,0,0
162.143.133.158,150.121.86.183,46457,33311,1,0,0,0,74,74,74,74,1,0,0
79.12.198.113,150.121.116.226,52753,5985,1,0,0,0,54,54,54,54,1,0,0
2.74.113.172,133.131.133.94,49378,23,1,0,0,0,54,54,54,54,1,0,0
118.5.67.70,150.121.110.200,38232,23,1,0,0,0,58,58,58,58,1,0,0
223.11.54.14,133.131.66.208,55731,23,1,0,0,0,54,54,54,54,1,0,0
36.155.60.194,202.230.253.104,33176,22,5,0.0473630428314209,0.1910388469696045,0.12131351232528687,66,74,67.6,338,1,0,0
104.55.11.223,150.121.186.208,35686,9160,1,0,0,0,58,58,58,58,1,0,0
167.94.144.88,203.77.117.88,54780,3702,1,0,0,0,74,74,74,74,1,0,0
162.143.133.159,133.131.91.250,39840,50940,1,0,0,0,74,74,74,74,1,0,0
167.172.97.86,150.121.55.242,37438,52223,1,0,0,0,74,74,74,74,1,0,0
194.182.68.79,133.131.106.218,60000,18633,1,0,0,0,54,54,54,54,1,0,0
193.164.133.136,133.131.77.210,54340,42583,1,0,0,0,58,58,58,58,1,0,0
52.203.22.238,202.230.227.57,60913,11211,1,0,0,0,54,54,54,54,1,0,0
172.217.166.74,203.77.110.91,443,21782,2,0.0031681060791015625,0.0031681060791015625,0.0031681060791015625,66,66,66,132,0,0,0
87.255.153.65,202.230.197.224,46091,13489,1,0,0,0,54,54,54,54,1,0,0
35.55.34.60,133.152.167.138,45432,8873,1,0,0,0,54,54,54,54,1,0,0
4.153.219.73,203.77.120.22,34031,3479,1,0,0,0,54,54,54,54,1,0,0
167.94.141.234,203.77.96.189,64740,11300,1,0,0,0,74,74,74,74,1,0,0
35.55.34.60,203.77.7.198,45432,8873,1,0,0,0,54,54,54,54,1,0,0
89.43.81.203,163.226.243.135,40786,5432,1,0,0,0,54,54,54,54,1,0,0
175.41.222.193,203.77.82.61,443,47570,5,3.0994415283203125e-06,0.1554250717163086,0.0764310359954834,54,66,63.6,318,0,1,1
170.161.227.250,163.226.74.7,39810,8728,1,0,0,0,54,54,54,54,1,0,0
89.43.85.29,150.121.149.241,50257,17506,1,0,0,0,58,58,58,58,1,0,0
203.77.82.61,175.41.222.193,47580,443,8,2.7179718017578125e-05,0.2975919246673584,0.08511699948992048,66,66,66,528,0,0,0
94.134.41.57,202.101.49.135,443,25565,1,0,0,0,74,74,74,74,1,0,0
49.195.203.76,203.77.107.161,9882,995,1,0,0,0,66,66,66,66,0,0,0
150.121.90.227,162.159.154.213,64187,443,4,0.12296891212463379,0.3844630718231201,0.2847890059153239,54,54,54,216,0,0,0
150.121.90.146,34.152.199.242,50144,443,1,0,0,0,54,54,54,54,0,0,0
167.172.97.86,203.77.19.1,32975,52223,1,0,0,0,74,74,74,74,1,0,0
80.182.11.180,150.121.146.247,55053,11981,1,0,0,0,54,54,54,54,1,0,0
185.3.143.215,202.235.216.170,42070,83,1,0,0,0,54,54,54,54,1,0,0
47.73.22.114,203.77.79.52,17894,23,1,0,0,0,54,54,54,54,1,0,0
3.120.10.250,133.131.72.80,41332,12547,1,0,0,0,54,54,54,54,1,0,0
150.121.89.197,44.234.125.162,11136,443,2,0.4984438419342041,0.4984438419342041,0.4984438419342041,54,54,54,108,0,0,0
172.246.238.98,203.77.82.201,39040,13443,1,0,0,0,74,74,74,74,1,0,0
172.212.197.69,133.131.92.226,55258,9200,1,0,0,0,54,54,54,54,1,0,0
162.159.154.213,150.121.90.227,443,64187,4,0.12291312217712402,0.3844950199127197,0.28479599952697754,54,54,54,216,0,0,0
163.226.196.255,104.239.89.158,64845,443,2,0.2030179500579834,0.2030179500579834,0.2030179500579834,54,54,54,108,0,0,0
194.74.89.94,202.230.253.1,63632,465,2,0.2591359615325928,0.2591359615325928,0.2591359615325928,66,66,66,132,0,0,0
3.239.14.151,202.230.226.249,35786,19100,1,0,0,0,54,54,54,54,1,0,0
103.64.216.225,150.121.219.247,56587,8728,1,0,0,0,54,54,54,54,1,0,0
5.201.209.254,163.226.12.23,8324,46441,1,0,0,0,54,54,54,54,1,0,0
150.121.54.111,117.19.56.142,52516,17618,1,0,0,0,78,78,78,78,1,0,0
150.121.54.111,117.19.56.142,52515,15784,1,0,0,0,78,78,78,78,1,0,0
150.121.54.111,117.19.56.142,52512,47956,1,0,0,0,78,78,78,78,1,0,0
165.11.176.82,202.101.48.68,16527,26257,1,0,0,0,54,54,54,54,0,0,0
117.147.199.2,150.121.155.79,32966,22,1,0,0,0,74,74,74,74,1,0,0
43.125.143.81,203.77.63.55,22421,110,1,0,0,0,66,66,66,66,1,0,0
103.45.201.214,133.131.165.170,60396,9998,1,0,0,0,54,54,54,54,1,0,0
78.135.13.133,203.77.22.116,45945,6952,1,0,0,0,54,54,54,54,1,0,0
203.77.110.91,172.217.166.74,21782,443,3,0.0003910064697265625,0.0023758411407470703,0.0013834238052368164,66,66,66,198,0,0,0
3.241.137.39,150.121.237.188,50480,8455,1,0,0,0,54,54,54,54,1,0,0
167.172.97.86,150.121.219.201,50278,52223,1,0,0,0,74,74,74,74,1,0,0
167.172.97.86,150.121.211.15,33132,52223,1,0,0,0,74,74,74,74,1,0,0
